epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,381.648,0.54218,0.77664,0.92745,0.88975,0.94818,0.97615,0.8336,0.77655,0.79963,1.10007,0.00023525,0.00023525,0.00023525
84,386.286,0.56831,0.85633,0.92683,0.85521,0.95745,0.97824,0.84183,0.76548,0.79169,1.10172,0.000222875,0.000222875,0.000222875
85,390.971,0.57409,0.76892,0.92338,0.84944,0.94272,0.97368,0.83226,0.75836,0.79155,1.10191,0.0002105,0.0002105,0.0002105
86,395.623,0.55947,0.78473,0.92798,0.8944,0.91828,0.97574,0.83103,0.75551,0.79677,1.10581,0.000198125,0.000198125,0.000198125
87,400.196,0.58096,0.77379,0.9355,0.88751,0.93652,0.97402,0.82853,0.75763,0.81039,1.11195,0.00018575,0.00018575,0.00018575
88,404.821,0.55945,0.79662,0.93871,0.90761,0.95603,0.96271,0.82499,0.77598,0.8411,1.12269,0.000173375,0.000173375,0.000173375
89,409.481,0.54047,0.78276,0.91776,0.91388,0.95355,0.96079,0.81833,0.78139,0.8805,1.12827,0.000161,0.000161,0.000161
90,414.171,0.51906,0.84804,0.89334,0.90359,0.93364,0.95141,0.7961,0.80132,0.94227,1.15201,0.000148625,0.000148625,0.000148625
91,418.431,0.50961,0.97127,0.93262,0.89967,0.93454,0.95256,0.8045,0.79072,0.99443,1.141,0.00013625,0.00013625,0.00013625
92,422.567,0.47303,0.80181,0.91439,0.89363,0.92275,0.95355,0.79542,0.8085,1.05265,1.15243,0.000123875,0.000123875,0.000123875
93,426.807,0.47251,0.89137,0.90869,0.87555,0.92188,0.94172,0.79455,0.79376,1.04079,1.13875,0.0001115,0.0001115,0.0001115
94,431.038,0.49007,0.9059,0.9039,0.87017,0.93155,0.9351,0.80946,0.78231,0.99507,1.13305,9.9125e-05,9.9125e-05,9.9125e-05
95,435.272,0.4981,0.83732,0.8973,0.86245,0.92941,0.94607,0.83212,0.77254,0.95023,1.12204,8.675e-05,8.675e-05,8.675e-05
96,439.464,0.47554,0.89608,0.90338,0.86076,0.93581,0.94137,0.83919,0.77064,0.91172,1.11669,7.4375e-05,7.4375e-05,7.4375e-05
97,443.709,0.49607,0.96748,0.94385,0.86773,0.92895,0.94159,0.84878,0.77443,0.91824,1.10781,6.2e-05,6.2e-05,6.2e-05
98,448.049,0.47023,0.82506,0.89748,0.85456,0.94911,0.95188,0.82633,0.75922,0.86321,1.10564,4.9625e-05,4.9625e-05,4.9625e-05
99,452.274,0.54512,0.96182,0.97495,0.84954,0.94856,0.94685,0.82552,0.75876,0.86492,1.10593,3.725e-05,3.725e-05,3.725e-05
100,456.577,0.47069,0.76242,0.91835,0.85305,0.94214,0.95022,0.82375,0.75662,0.84979,1.10799,2.4875e-05,2.4875e-05,2.4875e-05
